"Team1","Team2","Played","Won","Drawn","Lost"
"139","Russia","Austria",18,0.444444444444444,0.222222222222222,0.333333333333333
"140","Russia","Hungary",25,0.52,0.28,0.2
"141","Slovakia","Spain",6,0.166666666666667,0.166666666666667,0.666666666666667
"142","Slovakia","Czech Republic",10,0.3,0.2,0.5
"143","Slovakia","Turkey",6,0.166666666666667,0.166666666666667,0.666666666666667
"144","Slovakia","Croatia",13,0.153846153846154,0.230769230769231,0.615384615384615
"145","Slovakia","Germany",10,0.3,0,0.7
"146","Slovakia","Ukraine",5,0.2,0.6,0.2
"147","Slovakia","Poland",8,0.5,0.125,0.375
"148","Slovakia","Northern Ireland",4,0.5,0.25,0.25
"149","Slovakia","Belgium",3,0,0.666666666666667,0.333333333333333
"150","Slovakia","Italy",2,0.5,0,0.5
"151","Slovakia","Repulic of Ireland",5,0,0.8,0.2
"152","Slovakia","Sweden",4,0,0.5,0.5
"153","Slovakia","Portugal",4,0,0.25,0.75
"154","Slovakia","Iceland",5,0.6,0.2,0.2
"155","Slovakia","Austria",3,0.333333333333333,0.333333333333333,0.333333333333333
"156","Slovakia","Hungary",4,0.5,0.5,0
"157","Spain","Czech Republic",16,0.4375,0.125,0.4375
"158","Spain","Turkey",10,0.5,0.4,0.1
"159","Spain","Croatia",5,0.6,0.2,0.2
"160","Spain","Germany",22,0.318181818181818,0.272727272727273,0.409090909090909
"161","Spain","Ukraine",5,0.8,0.2,0
"162","Spain","Poland",10,0.8,0.1,0.1
"163","Spain","Northern Ireland",18,0.611111111111111,0.277777777777778,0.111111111111111
"164","Spain","Belgium",22,0.5,0.272727272727273,0.227272727272727
"165","Spain","Italy",34,0.294117647058824,0.411764705882353,0.294117647058824
"166","Spain","Repulic of Ireland",26,0.576923076923077,0.269230769230769,0.153846153846154
"167","Spain","Sweden",13,0.461538461538462,0.307692307692308,0.230769230769231
"168","Spain","Portugal",35,0.457142857142857,0.371428571428571,0.171428571428571
"169","Spain","Iceland",9,0.666666666666667,0.222222222222222,0.111111111111111
"170","Spain","Austria",16,0.5625,0.1875,0.25
"171","Spain","Hungary",13,0.384615384615385,0.384615384615385,0.230769230769231
"172","Czech Republic","Turkey",19,0.631578947368421,0.157894736842105,0.210526315789474
"173","Czech Republic","Croatia",2,0,0.5,0.5
"174","Czech Republic","Germany",24,0.208333333333333,0.208333333333333,0.583333333333333
"175","Czech Republic","Ukraine",2,0.5,0.5,0
"176","Czech Republic","Poland",26,0.5,0.192307692307692,0.307692307692308
"177","Czech Republic","Northern Ireland",6,0.333333333333333,0.333333333333333,0.333333333333333
"178","Czech Republic","Belgium",16,0.5,0.1875,0.3125
"179","Czech Republic","Italy",32,0.3125,0.34375,0.34375
